Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1 Jun,0.0,0.0,0.0,0.0,28.0,31.4,26.4,6.5,29.5
2 Jun,48.6,28.0,37.8,47.4,28.1,33.6,23.2,5.8,34.6
3 Jun,57.2,27.2,37.2,52.4,26.3,30.4,24.0,5.0,33.5
4 Jun,0.2,0.2,0.2,0.2,27.5,31.4,25.2,5.8,32.8
5 Jun,2.8,2.8,2.8,2.8,28.6,31.6,26.9,7.6,32.0
6 Jun,18.0,6.6,6.8,8.4,26.7,28.4,24.5,6.5,39.6
7 Jun,6.4,1.8,2.6,4.2,25.7,27.1,24.0,5.8,36.7
8 Jun,0.4,0.4,0.4,0.4,27.0,30.1,25.1,5.4,27.4
9 Jun,0.0,0.0,0.0,0.0,28.3,32.3,26.8,6.8,31.7
10 Jun,4.2,4.0,4.0,4.0,28.9,32.5,27.5,8.3,32.4
11 Jun,13.2,7.4,12.0,12.0,28.8,33.1,25.6,8.6,37.4
12 Jun,31.0,14.4,18.2,23.2,26.4,28.2,23.6,10.1,47.2
13 Jun,4.8,2.2,3.0,4.0,28.0,30.4,26.6,8.3,27.7
14 Jun,0.2,0.2,0.2,0.2,28.7,31.5,26.9,8.3,33.5
15 Jun,0.0,0.0,0.0,0.0,28.4,31.5,26.0,7.9,33.5
16 Jun,0.0,0.0,0.0,0.0,28.8,32.4,27.5,10.1,37.8
17 Jun,0.0,0.0,0.0,0.0,28.6,31.8,27.0,8.6,33.1
18 Jun,3.6,1.4,1.6,1.8,27.0,29.0,25.2,6.5,34.9
19 Jun,18.2,17.0,18.0,18.0,27.3,29.4,23.8,5.4,28.1
20 Jun,0.0,0.0,0.0,0.0,28.4,31.4,26.8,7.9,34.2
21 Jun,0.0,0.0,0.0,0.0,27.9,32.3,25.9,7.6,36.4
22 Jun,7.2,4.8,6.4,6.8,26.8,29.9,23.1,7.2,42.5
23 Jun,0.2,0.2,0.2,0.2,28.2,32.2,25.8,8.6,34.6
24 Jun,0.0,0.0,0.0,0.0,28.6,32.1,27.0,9.0,40.0
25 Jun,0.0,0.0,0.0,0.0,29.0,31.9,27.4,10.8,37.8
26 Jun,21.8,17.2,21.2,21.8,27.5,31.2,23.9,7.2,34.9
27 Jun,0.0,0.0,0.0,0.0,28.6,31.9,26.7,8.3,33.5
28 Jun,0.0,0.0,0.0,0.0,29.0,32.6,27.5,10.8,37.8
29 Jun,5.6,5.2,5.2,5.4,28.3,31.9,24.9,10.8,45.4
30 Jun,0.0,0.0,0.0,0.0,28.2,30.4,26.7,9.7,46.8
1 May,0.0,0.0,0.0,0.0,29.4,32.7,27.1,4.0,26.3
2 May,0.0,0.0,0.0,0.0,29.5,33.7,27.8,5.0,23.0
3 May,2.2,2.0,2.0,2.0,29.5,32.9,27.1,6.1,23.8
4 May,18.2,16.4,16.6,17.6,28.5,32.5,23.0,5.8,67.0
5 May,0.0,0.0,0.0,0.0,28.1,31.1,26.1,7.9,32.0
6 May,0.0,0.0,0.0,0.0,29.7,33.1,27.7,7.2,40.7
7 May,4.0,2.6,4.0,4.0,29.9,33.5,27.6,5.8,32.0
8 May,41.0,29.8,34.4,35.0,26.7,29.7,22.1,6.1,58.3
9 May,0.2,0.2,0.2,0.2,29.4,33.1,27.0,5.8,27.4
10 May,43.4,15.2,17.0,26.6,29.0,33.0,22.0,5.8,46.8
11 May,17.8,12.2,17.2,17.8,28.7,30.8,24.3,4.3,41.4
12 May,0.0,0.0,0.0,0.0,29.6,33.8,27.4,4.7,25.2
13 May,1.6,1.2,1.6,1.6,28.8,31.8,27.1,6.1,38.5
14 May,1.6,1.2,1.2,1.2,28.8,33.3,26.5,6.8,41.8
15 May,0.6,0.6,0.6,0.6,29.1,33.0,26.2,6.1,31.3
16 May,3.2,2.0,2.4,3.2,28.5,31.6,26.1,4.7,29.2
17 May,7.8,4.8,5.2,6.2,27.4,30.0,24.1,6.8,40.0
18 May,0.0,0.0,0.0,0.0,28.6,31.6,26.9,7.9,32.0
19 May,4.6,4.2,4.6,4.6,27.2,30.1,22.8,5.8,52.6
20 May,0.0,0.0,0.0,0.0,28.3,31.1,26.3,5.8,32.4
21 May,1.0,1.0,1.0,1.0,28.1,31.8,26.5,6.8,35.6
22 May,1.0,0.6,1.0,1.0,27.9,32.2,26.2,5.8,52.9
23 May,0.0,0.0,0.0,0.0,28.8,32.2,25.8,8.6,44.3
24 May,0.0,0.0,0.0,0.0,29.8,34.7,28.0,7.9,30.6
25 May,0.0,0.0,0.0,0.0,29.0,32.4,27.6,8.3,41.8
26 May,0.0,0.0,0.0,0.0,29.3,33.6,27.6,8.3,35.3
27 May,7.0,6.8,6.8,6.8,28.9,32.8,25.6,10.4,47.5
28 May,0.2,0.2,0.2,0.2,29.1,31.8,27.8,11.5,42.1
29 May,0.0,0.0,0.0,0.0,29.2,33.5,27.8,7.6,28.8
30 May,29.4,15.6,20.8,21.6,27.7,32.0,24.5,6.1,40.3
31 May,1.6,1.6,1.6,1.6,28.5,33.1,26.2,6.8,35.3
1 Apr,50.6,17.8,18.6,22.4,26.3,29.6,23.6,4.7,38.5
2 Apr,0.2,0.2,0.2,0.2,27.9,31.6,26.1,5.0,25.6
3 Apr,27.0,13.8,22.0,24.0,26.9,31.9,21.9,4.7,59.8
4 Apr,41.8,20.2,34.6,41.8,28.1,34.7,24.6,6.1,30.6
5 Apr,4.6,4.6,4.6,4.6,28.1,33.8,25.0,5.4,38.2
6 Apr,0.0,0.0,0.0,0.0,28.1,32.7,25.6,8.3,36.4
7 Apr,0.0,0.0,0.0,0.0,28.7,32.6,26.2,7.6,32.0
8 Apr,0.0,0.0,0.0,0.0,28.9,33.7,26.4,6.5,31.3
9 Apr,9.2,8.2,9.2,9.2,28.8,33.8,26.3,5.0,28.4
10 Apr,1.4,0.8,1.2,1.2,28.3,33.5,26.5,4.0,30.2
11 Apr,4.2,2.4,3.8,4.0,27.6,30.7,25.9,4.3,22.0
12 Apr,0.0,0.0,0.0,0.0,28.8,32.9,25.9,4.7,30.6
13 Apr,0.0,0.0,0.0,0.0,29.0,33.7,26.4,7.6,32.4
14 Apr,0.0,0.0,0.0,0.0,28.5,32.3,26.9,8.3,35.3
15 Apr,0.0,0.0,0.0,0.0,29.4,34.3,26.5,6.5,37.1
16 Apr,0.0,0.0,0.0,0.0,29.8,33.8,27.7,9.0,29.2
17 Apr,0.0,0.0,0.0,0.0,29.7,33.0,27.1,8.6,35.3
18 Apr,0.0,0.0,0.0,0.0,29.6,32.8,27.6,7.2,33.5
19 Apr,0.0,0.0,0.0,0.0,29.5,35.7,26.7,5.4,33.5
20 Apr,25.2,12.4,16.4,20.8,27.8,30.1,25.3,5.4,30.6
21 Apr,0.0,0.0,0.0,0.0,29.1,34.9,27.1,7.9,34.9
22 Apr,0.0,0.0,0.0,0.0,28.5,32.7,26.6,6.1,38.2
23 Apr,27.8,16.0,20.0,22.4,27.6,33.3,24.4,4.0,32.8
24 Apr,21.8,16.6,21.8,21.8,27.9,31.2,25.9,4.3,20.2
25 Apr,0.0,0.0,0.0,0.0,28.3,31.9,26.4,5.0,30.2
26 Apr,36.6,12.8,23.8,28.4,25.9,28.3,23.3,4.3,33.5
27 Apr,14.2,6.8,8.6,9.8,27.1,31.4,24.3,5.0,26.3
28 Apr,0.6,0.6,0.6,0.6,28.6,34.0,24.7,6.5,55.1
29 Apr,1.2,1.2,1.2,1.2,28.9,33.7,25.6,7.9,40.7
30 Apr,0.4,0.4,0.4,0.4,28.2,32.7,26.4,4.0,28.4
1 Mar,0.0,0.0,0.0,0.0,28.0,32.4,26.0,7.2,37.8
2 Mar,0.0,0.0,0.0,0.0,28.1,33.8,25.7,7.2,32.4
3 Mar,0.0,0.0,0.0,0.0,27.8,33.3,25.0,6.8,34.9
4 Mar,0.2,0.2,0.2,0.2,27.8,34.3,24.9,6.1,29.2
5 Mar,0.0,0.0,0.0,0.0,28.5,33.3,25.4,6.1,27.0
6 Mar,0.0,0.0,0.0,0.0,28.3,33.1,26.7,6.1,29.2
7 Mar,0.0,0.0,0.0,0.0,28.8,33.1,26.9,7.2,40.3
8 Mar,0.0,0.0,0.0,0.0,28.7,32.5,26.6,7.9,33.5
9 Mar,0.0,0.0,0.0,0.0,28.8,33.4,26.5,8.3,35.3
